id,weight,age,sex,race,region,res16,marital,educ,degree,income16,class,occ10,prestg10,finrela,satfin,partyid,polviews,relig,attend,childs,happy,health,tvhours,usewww,getahead
2022-1,0.30099026261141515,72,Female,White,New England,in a suburb near a large city,Divorced,4 Years College,Bachelor's,"$90,000 to $109,999",Middle Class,,Low,Average,Not Satisfied,Strong Democrat,Liberal,None,Once A Year,1,Not Too Happy,Good,,,
2022-3,1.3638341729086974,57,Female,White,New England,"in a small city or town (under 50,000)",Divorced,12th Grade,High school,"$40,000 to $49,999",Working Class,,Low,Average,More or less satisfied,Republican,Moderate,Other,Never,1,Not Too Happy,Good,,,
2022-4,1.2022912624059863,23,Female,White,New England,"in a small city or town (under 50,000)",Never Married,4 Years College,Bachelor's,"$90,000 to $109,999",Middle Class,,Low,Above average,Satisfied,Strong Democrat,Extremely Liberal,None,Once A Month,0,Not Too Happy,Good,1,,
2022-5,1.452537303169802,62,Male,White,New England,"in a small city or town (under 50,000)",Never Married,2 Years College,High school,"$25,000 to $29,999",Middle Class,,Low,Below average,Not Satisfied,Independent,Slightly Conservative,Catholic,Once A Year,2,Pretty Happy,Fair,,,
2022-6,1.3572170517581343,27,Male,White,Middle Atlantic,"in a small city or town (under 50,000)",Never Married,12th Grade,High school,"$50,000 to $59,999",Lower Class,,Low,Average,More or less satisfied,Democrat,Moderate,None,Never,0,Pretty Happy,Excellent,,,
2022-7,0.4122643975892986,20,Female,Other,Middle Atlantic,"in a large city (over 250,000)",Never Married,12th Grade,High school,"$35,000 to $39,999",Lower Class,,High,Below average,Not Satisfied,"Independent, Near Democrat",Slightly Liberal,None,Less Than Once A Year,0,Pretty Happy,Good,,,Connections
2022-8,0.6095341671847818,47,Male,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Married,4 Years College,Graduate,"$170,000 or over",Upper Class,,High,Far above average,Satisfied,Strong Democrat,Extremely Liberal,None,Less Than Once A Year,0,Pretty Happy,Good,,,
2022-9,0.47561194518586414,31,Female,White,Middle Atlantic,"in a small city or town (under 50,000)",Never Married,12th Grade,High school,"$22,500 to $24,999",Working Class,,Low,Average,Not Satisfied,"Independent, Near Democrat",Slightly Liberal,None,Never,1,Pretty Happy,Good,0,,Connections
2022-11,1.122700132546621,57,Female,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Widowed,1 Year College,High school,"$50,000 to $59,999",Working Class,,Low,Below average,More or less satisfied,Independent,Moderate,None,Never,2,Pretty Happy,Good,2,,
2022-12,0.32018733334626215,25,Female,White,Middle Atlantic,"in a medium-size city (50,000-250,000)",Never Married,4 Years College,Bachelor's,"$30,000 to $34,999",Middle Class,,Low,Above average,More or less satisfied,"Independent, Near Democrat",,None,Less Than Once A Year,0,Pretty Happy,Fair,,,Connections
2022-13,1.1008241200207791,35,Female,White,Middle Atlantic,"in a small city or town (under 50,000)",Married,12th Grade,High school,"$130,000 to $149,999",Working Class,Sales and office occupations,Low,Average,More or less satisfied,Other,Moderate,,Once A Year,2,Very Happy,Fair,2,,
2022-14,0.3851760620571728,36,Female,White,New England,"in a medium-size city (50,000-250,000)",Never Married,12th Grade,High school,"$1,000 to $2,999",Middle Class,,Low,Below average,More or less satisfied,Republican,Moderate,Catholic,Less Than Once A Year,2,Not Too Happy,Good,,,
2022-15,0.7969904442288313,41,Female,White,New England,in a suburb near a large city,Never Married,1 Year College,High school,,Working Class,,Low,Far below average,Not Satisfied,Independent,Conservative,Catholic,Once A Month,3,Pretty Happy,Excellent,0,,
2022-16,0.26706200349291515,65,Male,White,New England,"in a large city (over 250,000)",Divorced,2 Years College,High school,"$35,000 to $39,999",Working Class,,High,Below average,Not Satisfied,"Independent, Near Democrat",Liberal,Catholic,Once A Year,4,Very Happy,Good,4,,Hard Work
2022-17,0.6600438649618247,20,Female,Other,New England,"in a medium-size city (50,000-250,000)",Never Married,1 Year College,High school,"$15,000 to $17,499",Middle Class,,,Average,More or less satisfied,"Independent, Near Republican",Conservative,Protestant,Nearly Every Week,1,Very Happy,Excellent,0,,
2022-18,1.044982188718634,80,Female,White,New England,in a suburb near a large city,Married,4 Years College,Bachelor's,"$130,000 to $149,999",Middle Class,,High,Average,More or less satisfied,"Independent, Near Democrat",Slightly Liberal,Catholic,Every Week,7,Very Happy,Good,5,,
2022-19,0.2466453269085958,35,Female,Black,New England,"in a large city (over 250,000)",Never Married,11th Grade,Less than high school,"$10,000 to $12,499",Lower Class,Service occupations,Low,Far below average,Not Satisfied,Independent,Moderate,None,Never,4,Not Too Happy,Good,,,
2022-20,0.3875467776907562,89,Female,White,New England,"in a medium-size city (50,000-250,000)",Never Married,12th Grade,High school,"$35,000 to $39,999",Middle Class,,Low,Average,More or less satisfied,Democrat,Conservative,Catholic,Never,0,Pretty Happy,Poor,4,,
